Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
Starters,,,,,,,,
,,,SOUP OF THE DAY (V),Warming soup with a freshly baked ciabatta roll,,£4.25,,
,,,PRAWN COCKTAIL,Atlantic prawns in a rich seafood sauce served on a cos lettuce salad with farmhouse bread and butter,,£4.95,,
,,,STILTON AND GARLIC MUSHROOMS (V),"Button mushrooms pan fried in a rich garlic, cream and Stilton sauce served on toasted ciabatta",,£5.25,,
,,,CRISPY CHICKEN,"Tender chicken breast strips, hand coated in a crispy southern fried crumb with delicious chicken gravy",,£5.25,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
