Course,MenuSection,MenuSectionDescription,DishName,DishDescription,Options-why-not-add,Price,HighlightYes,AdditionalClass
"Nibbles & Tapas
",,,,,,,,
,,Select individually or choose any four for £12,,,,,,
,,,,,Marinated Olives <br />£2,,,
,,,,,Ham hock & cheese croquette <br />£3,,,
,,,,,Patatas Bravas <br />£3,,,
,,,,,Albondigas <br />£3,,,
,,,,,Bread & Oils <br />£3,,,
,,,,,Chorizo Bites <br />£3,,,
,,,,,Seasoned Halloumi fries <br />£4,,,
,,,,,Crispy chilli chicken <br />£4,,,
